Entertainment	Game Consoles	Hardware	Movies	Software	Streaming	Video Games	RepID
0.000000	0.000000	0.368992	0.000000	0.000000	0.000000	0.631008	51
0.000000	0.000000	0.063144	0.000000	0.153351	0.539948	0.243557	52
0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	53
0.000000	0.000000	0.050046	0.092215	0.000000	0.454124	0.403614	54
0.000000	0.000000	0.332474	0.000000	0.667526	0.000000	0.000000	55
0.000000	0.000000	0.535842	0.000000	0.464158	0.000000	0.000000	56
0.000000	0.000000	0.201804	0.000000	0.000000	0.000000	0.798196	57
0.000000	0.000000	0.410714	0.000000	0.589286	0.000000	0.000000	58
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	59
0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	60
0.000000	0.000000	0.420884	0.000000	0.000000	0.481526	0.097590	61
0.067732	0.227549	0.227549	0.000000	0.000000	0.303653	0.173516	62
0.625628	0.000000	0.374372	0.000000	0.000000	0.000000	0.000000	63
0.000000	0.000000	0.432727	0.000000	0.000000	0.000000	0.567273	64
0.000000	0.849332	0.150668	0.000000	0.000000	0.000000	0.000000	65
0.833890	0.000000	0.166110	0.000000	0.000000	0.000000	0.000000	66
0.023485	0.000000	0.104833	0.695711	0.000000	0.000000	0.175970	67
0.657670	0.000000	0.123766	0.000000	0.081633	0.000000	0.136932	68
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	69
0.000000	0.000000	0.542234	0.351499	0.000000	0.000000	0.106267	70
0.667781	0.000000	0.133021	0.000000	0.000000	0.000000	0.199198	71
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	72
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	73
0.837037	0.000000	0.015781	0.000000	0.000000	0.000000	0.147182	74
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	75
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	76
0.000000	0.000000	0.533784	0.000000	0.000000	0.000000	0.466216	77
0.000000	0.000000	0.490909	0.258442	0.000000	0.000000	0.250649	78
0.000000	0.000000	0.028892	0.000000	0.158608	0.706958	0.105542	79
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	80
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	81
0.974481	0.000000	0.025519	0.000000	0.000000	0.000000	0.000000	82
0.000000	0.000000	0.197674	0.000000	0.000000	0.745847	0.056478	83
0.000000	0.000000	0.000000	0.074307	0.526448	0.000000	0.399244	84
0.000000	0.000000	0.312893	0.000000	0.000000	0.000000	0.687107	85
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	86
0.000000	0.000000	0.517857	0.482143	0.000000	0.000000	0.000000	87
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	88
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	89
0.000000	0.000000	0.104925	0.000000	0.000000	0.000000	0.895075	90
0.000000	0.000000	0.346154	0.000000	0.000000	0.000000	0.653846	91
0.731780	0.000000	0.092512	0.000000	0.000000	0.136106	0.039601	92
0.000000	0.000000	0.000000	0.000000	0.237624	0.000000	0.762376	93
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	94
0.000000	0.000000	0.731784	0.118719	0.030779	0.000000	0.118719	95
0.985461	0.000000	0.000000	0.000000	0.000000	0.000000	0.014539	96
0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	97
0.000000	0.000000	0.754630	0.000000	0.000000	0.000000	0.245370	98
0.000000	0.000000	0.317817	0.000000	0.000000	0.640449	0.041734	99
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	100
