Location,Cal Date,Temp,Day of Week,Sequence,Power Demand
1815,2/17/1995,33.9,6,48,5080.002516
1815,2/18/1995,44.4,7,49,4915.195766
1815,2/19/1995,37.2,1,50,5019.025652
1815,2/20/1995,48.9,2,51,5162.642068
1815,2/21/1995,46.3,3,52,5191.581835
1815,2/22/1995,49.4,4,53,5237.07981
1815,2/23/1995,44,5,54,5176.808684
1815,2/24/1995,45.2,6,55,5150.614299
1815,2/25/1995,49.2,7,56,4933.468886
1815,2/26/1995,49.3,1,57,5081.605308
1815,2/27/1995,45.6,2,58,5152.861645
1815,2/28/1995,27.4,3,59,5102.217153
1815,3/1/1995,13.1,4,60,5095.604296
1815,3/2/1995,7.1,5,61,5067.772844
1815,3/3/1995,20.7,6,62,5036.652624
1815,3/4/1995,37.6,7,63,4879.312734
1815,3/5/1995,39.4,1,64,5030.840196
1815,3/6/1995,33.5,2,65,5084.985302
1815,3/7/1995,22.4,3,66,5082.458576
1815,3/8/1995,29.1,4,67,5134.551243
1815,3/9/1995,43.7,5,68,5172.905707
1815,3/10/1995,52.2,6,69,5176.863885
1815,3/11/1995,58.9,7,70,4983.097913
1815,3/12/1995,52.9,1,71,5099.26189
1815,3/13/1995,49.5,2,72,5172.001994
1815,3/14/1995,48.5,3,73,5213.762933
1815,3/15/1995,44.6,4,74,5219.900399
1815,3/16/1995,49.7,5,75,5209.944707
1815,3/17/1995,47.4,6,76,5144.465265
1815,3/18/1995,48.7,7,77,4921.391408
1815,3/19/1995,52.4,1,78,5100.19236
1815,3/20/1995,43,2,79,5131.747438
1815,3/21/1995,55,3,80,5255.774778
1815,3/22/1995,55.7,4,81,5276.318809
1815,3/23/1995,43.2,5,82,5164.667966
1815,3/24/1995,50.6,6,83,5163.493372
1815,3/25/1995,41.4,7,84,4889.408714
1815,3/26/1995,33.2,1,85,4987.874379
1815,3/27/1995,31.9,2,86,5068.638631
1815,3/28/1995,27.4,3,87,5103.163179
1815,3/29/1995,24.6,4,88,5109.172139
1815,3/30/1995,25.7,5,89,5079.916171
1815,3/31/1995,31.9,6,90,5062.384658
1815,4/1/1995,40.3,7,91,4888.918994
1815,4/2/1995,45.6,1,92,5049.407671
1815,4/3/1995,43.9,2,93,5137.164314
1815,4/4/1995,45.1,3,94,5193.539797
1815,4/5/1995,53.8,4,95,5257.802608
1815,4/6/1995,53.9,5,96,5225.43903
1815,4/7/1995,58.3,6,97,5207.291961
1815,4/8/1995,59.1,7,98,4993.440626
1815,4/9/1995,40.4,1,99,5019.509389
1815,4/10/1995,25.2,2,100,5043.905247
1815,4/11/1995,23,3,101,5083.385394
1815,4/12/1995,36.2,4,102,5163.678644
1815,4/13/1995,49.1,5,103,5192.870543
1815,4/14/1995,54.8,6,104,5191.678091
1815,4/15/1995,43.3,7,105,4918.812335
1815,4/16/1995,46.5,1,106,5051.626204
1815,4/17/1995,34.7,2,107,5078.667076
1815,4/18/1995,33.4,3,108,5126.186959
1815,4/19/1995,29.6,4,109,5120.914483
1815,4/20/1995,31.7,5,110,5101.872077
1815,4/21/1995,32.4,6,111,5065.701872
1815,4/22/1995,29.2,7,112,4844.835348
1815,4/23/1995,30.4,1,113,4961.166462
1815,4/24/1995,35.2,2,114,5080.866738
1815,4/25/1995,45.4,3,115,5188.664959
1815,4/26/1995,38,4,116,5166.474317
1815,4/27/1995,36.9,5,117,5136.036913
1815,4/28/1995,48,6,118,5143.947376
1815,4/29/1995,44.7,7,119,4918.906689
1815,4/30/1995,44.1,1,120,5032.261
1815,5/1/1995,40.9,2,121,5116.307395
1815,5/2/1995,43.7,3,122,5178.951734
1815,5/3/1995,47.4,4,123,5211.711292
1815,5/4/1995,44.2,5,124,5180.467291
1815,5/5/1995,47.6,6,125,5140.515925
1815,5/6/1995,49.1,7,126,4933.616569
1815,5/7/1995,50.7,1,127,5063.929794
1815,5/8/1995,48.2,2,128,5155.259957
1815,5/9/1995,47.8,3,129,5207.112611
1815,5/10/1995,48.3,4,130,5208.582142
1815,5/11/1995,50.9,5,131,5217.42019
1815,5/12/1995,56,6,132,5185.783707
1815,5/13/1995,53.5,7,133,4963.299632
1815,5/14/1995,49.1,1,134,5045.562596
1815,5/15/1995,58.4,2,135,5210.620436
1815,5/16/1995,62.6,3,136,5293.711445
1815,5/17/1995,43,4,137,5182.993464
1815,5/18/1995,45.7,5,138,5184.898067
1815,5/19/1995,53.6,6,139,5163.059896
1815,5/20/1995,51.9,7,140,4954.045014
1815,5/21/1995,53.7,1,141,5073.296318
1815,5/22/1995,54.8,2,142,5191.824118
1815,5/23/1995,43.7,3,143,5201.99776
1815,5/24/1995,38.7,4,144,5152.526296
1815,5/25/1995,40.3,5,145,5162.96502
1815,5/26/1995,50,6,146,5143.917551
1815,5/27/1995,47.8,7,147,4931.758638
1815,5/28/1995,46.9,1,148,5033.965603
1815,5/29/1995,46,2,149,5153.078859
1815,5/30/1995,45.1,3,150,5215.985824
1815,5/31/1995,52.7,4,151,5224.303283
1815,6/1/1995,58.6,5,152,5263.440963
1815,6/2/1995,59.6,6,153,5195.172077
1815,6/3/1995,54.9,7,154,4961.546303
1815,6/4/1995,54.1,1,155,5080.143664
1815,6/5/1995,55.7,2,156,5205.864836
1815,6/6/1995,64.5,3,157,5318.043541
1815,6/7/1995,59,4,158,5260.034336
1815,6/8/1995,55.6,5,159,5253.528414
1815,6/9/1995,51.8,6,160,5149.568855
1815,6/10/1995,51.8,7,161,4949.914882
1815,6/11/1995,52.4,1,162,5068.338386
1815,6/12/1995,63.2,2,163,5236.857134
1815,6/13/1995,69.8,3,164,5349.458699
1815,6/14/1995,72.4,4,165,5343.471249
1815,6/15/1995,70.5,5,166,5331.170942
1815,6/16/1995,66.1,6,167,5235.855109
1815,6/17/1995,63.6,7,168,5014.844216
1815,6/18/1995,61.1,1,169,5111.756827
1815,6/19/1995,65.5,2,170,5259.419024
1815,6/20/1995,68.8,3,171,5341.338846
1815,6/21/1995,70.7,4,172,5336.473918
1815,6/22/1995,67.5,5,173,5319.238202
1815,6/23/1995,62.8,6,174,5212.001841
1815,6/24/1995,57,7,175,4969.932372
1815,6/25/1995,58.3,1,176,5100.137987
1815,6/26/1995,61.7,2,177,5246.918411
1815,6/27/1995,66.1,3,178,5321.201135
1815,6/28/1995,64.2,4,179,5297.148512
1815,6/29/1995,52.4,5,180,5242.384412
1815,6/30/1995,49.6,6,181,5138.908285
1815,7/1/1995,53.9,7,182,4957.285057
1815,7/2/1995,58.7,1,183,5110.515465
1815,7/3/1995,62.5,2,184,5251.721049
1815,7/4/1995,55.5,3,185,5267.238018
1815,7/5/1995,59.2,4,186,5279.492943
1815,7/6/1995,66.7,5,187,5314.622983
1815,7/7/1995,71.7,6,188,5264.752716
1815,7/8/1995,75.4,7,189,5072.218902
1815,7/9/1995,72.3,1,190,5190.364959
1815,7/10/1995,72.6,2,191,5320.291777
1815,7/11/1995,75.6,3,192,5383.40135
1815,7/12/1995,75.9,4,193,5371.998036
1815,7/13/1995,72.9,5,194,5346.310647
1815,7/14/1995,66.4,6,195,5229.87398
1815,7/15/1995,63.8,7,196,5004.55514
1815,7/16/1995,66.6,1,197,5158.224639
1815,7/17/1995,64.3,2,198,5273.623013
1815,7/18/1995,59.4,3,199,5290.591286
1815,7/19/1995,65.7,4,200,5322.677631
1815,7/20/1995,63.3,5,201,5294.133292
1815,7/21/1995,64.5,6,202,5213.889567
1815,7/22/1995,66.3,7,203,5025.275637
1815,7/23/1995,62.2,1,204,5136.910126
1815,7/24/1995,65.8,2,205,5290.783921
1815,7/25/1995,69.2,3,206,5345.630562
1815,7/26/1995,73.9,4,207,5374.497392
1815,7/27/1995,77.9,5,208,5363.045044
1815,7/28/1995,75.2,6,209,5270.866585
1815,7/29/1995,76.5,7,210,5073.177171
1815,7/30/1995,74.2,1,211,5210.263946
1815,7/31/1995,64.5,2,212,5279.835594
1815,8/1/1995,57.7,3,213,5281.02243
1815,8/2/1995,67.4,4,214,5346.769991
1815,8/3/1995,72.3,5,215,5350.910985
1815,8/4/1995,68.3,6,216,5241.670973
1815,8/5/1995,69.9,7,217,5036.411016
1815,8/6/1995,71.9,1,218,5208.571586
1815,8/7/1995,76.8,2,219,5343.32154
1815,8/8/1995,76.7,3,220,5384.883461
1815,8/9/1995,77,4,221,5389.357963
1815,8/10/1995,74.5,5,222,5354.990764
1815,8/11/1995,79.2,6,223,5294.938417
1815,8/12/1995,72,7,224,5047.154035
1815,8/13/1995,71.5,1,225,5210.056029
1815,8/14/1995,66.5,2,226,5289.772323
1815,8/15/1995,64.3,3,227,5309.06904
1815,8/16/1995,72.3,4,228,5369.257011
1815,8/17/1995,74.6,5,229,5356.035133
1815,8/18/1995,75.2,6,230,5275.912611
1815,8/19/1995,66.4,7,231,5004.220006
1815,8/20/1995,66.7,1,232,5182.569009
1815,8/21/1995,69.4,2,233,5301.081221
1815,8/22/1995,74.1,3,234,5358.749708
1815,8/23/1995,71.3,4,235,5361.051396
1815,8/24/1995,73.5,5,236,5357.840442
1815,8/25/1995,68.7,6,237,5238.14845
1815,8/26/1995,66.9,7,238,5007.057748
1815,8/27/1995,66.5,1,239,5187.118349
1815,8/28/1995,70.3,2,240,5302.49015
1815,8/29/1995,72.6,3,241,5356.237803
1815,8/30/1995,69.1,4,242,5354.486192
1815,8/31/1995,73,5,243,5364.693096
1815,9/1/1995,74.6,6,244,5271.38116
1815,9/2/1995,77.3,7,245,5067.894385
1815,9/3/1995,71.6,1,246,5214.754373
1815,9/4/1995,73.4,2,247,5325.280178
1815,9/5/1995,74,3,248,5355.519577
1815,9/6/1995,72.5,4,249,5369.477539
1815,9/7/1995,56.2,5,250,5271.036023
1815,9/8/1995,53.5,6,251,5159.045658
1815,9/9/1995,58.3,7,252,4968.284014
1815,9/10/1995,53.5,1,253,5103.191685
1815,9/11/1995,59,2,254,5250.180362
1815,9/12/1995,61.6,3,255,5279.466094
1815,9/13/1995,62.3,4,256,5300.308469
1815,9/14/1995,62.1,5,257,5303.465756
1815,9/15/1995,64.1,6,258,5210.858116
1815,9/16/1995,65.4,7,259,5002.120681
1815,9/17/1995,61.9,1,260,5148.323044
1815,9/18/1995,63,2,261,5278.68429
1815,9/19/1995,53.4,3,262,5236.077447
1815,9/20/1995,49.3,4,263,5225.851335
1815,9/21/1995,32.7,5,264,5150.558822
1815,9/22/1995,37.2,6,265,5060.771678
1815,9/23/1995,49.5,7,266,4918.548021
1815,9/24/1995,44.5,1,267,5049.148082
1815,9/25/1995,44.7,2,268,5190.852716
1815,9/26/1995,50.5,3,269,5214.010924
1815,9/27/1995,59.7,4,270,5275.924394
1815,9/28/1995,63.1,5,271,5321.458791
1815,9/29/1995,55.8,6,272,5163.033047
1815,9/30/1995,50.4,7,273,4930.55066
1815,10/1/1995,52.2,1,274,5091.409911
1815,10/2/1995,48.3,2,275,5202.028168
1815,10/3/1995,50.5,3,276,5212.85695
1815,10/4/1995,51.3,4,277,5227.207272
1815,10/5/1995,41.9,5,278,5201.594139
1815,10/6/1995,39.9,6,279,5078.377938
1815,10/7/1995,48.7,7,280,4918.837435
1815,10/8/1995,53.9,1,281,5096.531083
1815,10/9/1995,48.9,2,282,5202.688095
1815,10/10/1995,53,3,283,5232.998312
1815,10/11/1995,59,4,284,5260.326388
1815,10/12/1995,61.4,5,285,5309.175698
1815,10/13/1995,51.7,6,286,5139.600644
1815,10/14/1995,46.7,7,287,4899.191102
1815,10/15/1995,56.6,1,288,5116.007211
1815,10/16/1995,59.4,2,289,5266.737312
1815,10/17/1995,59.4,3,290,5270.183338
1815,10/18/1995,56.6,4,291,5243.553237
1815,10/19/1995,49.5,5,292,5251.994047
1815,10/20/1995,42.9,6,293,5090.311016
1815,10/21/1995,51.5,7,294,4920.157932
1815,10/22/1995,46,1,295,5061.324885
1815,10/23/1995,33.4,2,296,5125.232986
1815,10/24/1995,36.2,3,297,5152.82467
1815,10/25/1995,43.8,4,298,5168.358024
1815,10/26/1995,48.5,5,299,5251.20896
1815,10/27/1995,47.5,6,300,5123.617582
1815,10/28/1995,39.4,7,301,4854.086223
1815,10/29/1995,49.5,1,302,5078.140074
1815,10/30/1995,40.6,2,303,5164.820313
1815,10/31/1995,41.3,3,304,5186.356398
1815,11/1/1995,38,4,305,5129.220344
1815,11/2/1995,20.4,5,306,5120.838386
1815,11/3/1995,20,6,307,5001.501964
1815,11/4/1995,29.9,7,308,4795.757195
1815,11/5/1995,40.2,1,309,5019.550782
1815,11/6/1995,49.3,2,310,5208.897361
1815,11/7/1995,42.6,3,311,5188.615986
1815,11/8/1995,40.7,4,312,5148.032894
1815,11/9/1995,52.7,5,313,5265.84931
1815,11/10/1995,38.5,6,314,5072.42961
1815,11/11/1995,30.4,7,315,4794.712488
1815,11/12/1995,54.3,1,316,5093.416508
1815,11/13/1995,41.3,2,317,5161.102424
1815,11/14/1995,45.6,3,318,5196.553697
1815,11/15/1995,44.6,4,319,5160.646425
1815,11/16/1995,49.2,5,320,5240.314913
1815,11/17/1995,45.7,6,321,5103.144093
1815,11/18/1995,47.8,7,322,4885.704664
1815,11/19/1995,50.6,1,323,5083.639399
1815,11/20/1995,39.6,2,324,5142.082909
1815,11/21/1995,37.2,3,325,5141.517705
1815,11/22/1995,50.4,4,326,5189.396686
1815,11/23/1995,40.5,5,327,5201.069653
1815,11/24/1995,46,6,328,5101.770911
1815,11/25/1995,50,7,329,4888.363578
1815,11/26/1995,51.9,1,330,5082.29104
1815,11/27/1995,31.6,2,331,5089.865787
1815,11/28/1995,25.1,3,332,5078.775115
1815,11/29/1995,39.2,4,333,5118.127616
1815,11/30/1995,49.2,5,334,5241.460939
1815,12/1/1995,51.5,6,335,5137.703958
1815,12/2/1995,51.1,7,336,4886.432771
1815,12/3/1995,41.8,1,337,5021.325928
1815,12/4/1995,41.4,2,338,5142.454741
1815,12/5/1995,39.6,3,339,5151.728935
1815,12/6/1995,40.5,4,340,5123.41568
1815,12/7/1995,29,5,341,5125.721111
1815,12/8/1995,28.7,6,342,5026.278398
1815,12/9/1995,11.3,7,343,4742.867874
1815,12/10/1995,32.2,1,344,4976.051212
1815,12/11/1995,44.6,2,345,5160.592452
1815,12/12/1995,46.4,3,346,5199.350046
1815,12/13/1995,51.5,4,347,5179.749985
1815,12/14/1995,40.4,5,348,5192.555416
1815,12/15/1995,32.5,6,349,5032.908162
1815,12/16/1995,31,7,350,4789.112151
1815,12/17/1995,29.9,1,351,4972.403222
1815,12/18/1995,25.4,2,352,5062.70359
1815,12/19/1995,17.5,3,353,5081.93409
1815,12/20/1995,20.1,4,354,5037.240043
1815,12/21/1995,23,5,355,5111.831421
1815,12/22/1995,19.5,6,356,4998.411568
1815,12/23/1995,17.4,7,357,4758.288064
1815,12/24/1995,24.8,1,358,4955.84664
1815,12/25/1995,28.2,2,359,5063.731052
1815,12/26/1995,32.6,3,360,5132.806505
1815,12/27/1995,25.2,4,361,5058.951273
1815,12/28/1995,25.3,5,362,5108.911537
1815,12/29/1995,29.8,6,363,5018.512826
1815,12/30/1995,26.4,7,364,4769.187358
1815,12/31/1995,33.7,1,365,4996.704173
1815,1/1/1996,27.2,2,366,5058.942651
1815,1/2/1996,16.7,3,367,5084.205615
1815,1/3/1996,27.7,4,368,5068.436023
1815,1/4/1996,34.8,5,369,5152.835287
1815,1/5/1996,13.3,6,370,4987.980454
1815,1/6/1996,11.2,7,371,4745.929794
1815,1/7/1996,20.2,1,372,4954.562228
1815,1/8/1996,39.4,2,373,5122.232249
1815,1/9/1996,39.4,3,374,5179.678276
1815,1/10/1996,41,4,375,5133.075606
1815,1/11/1996,32.1,5,376,5137.698895
1815,1/12/1996,40.2,6,377,5077.196809
1815,1/13/1996,46.7,7,378,4874.037128
1815,1/14/1996,44.8,1,379,5060.1749
1815,1/15/1996,39.2,2,380,5128.773642
1815,1/16/1996,51.2,3,381,5234.547008
1815,1/17/1996,34.3,4,382,5098.703836
1815,1/18/1996,7.7,5,383,5089.210924
1815,1/19/1996,18.9,6,384,4985.345014
1815,1/20/1996,30.6,7,385,4778.379043
1815,1/21/1996,31,1,386,4980.058177
1815,1/22/1996,34,2,387,5093.66278
1815,1/23/1996,16.9,3,388,5076.089721
1815,1/24/1996,27,4,389,5063.690334
1815,1/25/1996,35,5,390,5150.877999
1815,1/26/1996,12.1,6,391,4977.682111
1815,1/27/1996,12.5,7,392,4739.074164
1815,1/28/1996,36.6,1,393,5008.441884
1815,1/29/1996,22.8,2,394,5041.987051
1815,1/30/1996,14,3,395,5072.502639
1815,1/31/1996,6.7,4,396,5038.626818
1815,2/1/1996,8.9,5,397,5081.309267
1815,2/2/1996,0.5,6,398,4973.70629
1815,2/3/1996,-3.8,7,399,4734.684106
1815,2/4/1996,17.2,1,400,4945.149985
1815,2/5/1996,40.6,2,401,5132.966339
1815,2/6/1996,41.8,3,402,5172.271955
1815,2/7/1996,50.6,4,403,5198.185425
1815,2/8/1996,46.9,5,404,5212.611629
1815,2/9/1996,48.1,6,405,5110.24572
1815,2/10/1996,44.1,7,406,4859.007027
1815,2/11/1996,28.9,1,407,4977.51482
1815,2/12/1996,34.4,2,408,5099.37039
1815,2/13/1996,42.3,3,409,5179.127248
1815,2/14/1996,46.8,4,410,5177.697392
1815,2/15/1996,35.4,5,411,5142.033292
1815,2/16/1996,29.3,6,412,5014.149586
1815,2/17/1996,44.5,7,413,4860.094109
1815,2/18/1996,45.4,1,414,5069.810985
1815,2/19/1996,43,2,415,5139.939491
1815,2/20/1996,46.9,3,416,5212.157656
1815,2/21/1996,49.3,4,417,5190.643388
1815,2/22/1996,55.4,5,418,5253.569807
1815,2/23/1996,40.1,6,419,5069.090519
1815,2/24/1996,42.1,7,420,4848.852746
1815,2/25/1996,49,1,421,5090.594385
1815,2/26/1996,25.6,2,422,5057.355907
1815,2/27/1996,18.2,3,423,5087.87846
1815,2/28/1996,10.3,4,424,5055.261583
1815,2/29/1996,15.5,5,425,5077.831114
1815,3/1/1996,29.3,6,426,5017.695612
1815,3/2/1996,36,7,427,4809.397852
1815,3/3/1996,35.6,1,428,5009.236269
1815,3/4/1996,43.5,2,429,5140.924916
1815,3/5/1996,43.1,3,430,5185.507702
1815,3/6/1996,21.8,4,431,5068.677785
1815,3/7/1996,14,5,432,5073.148665
1815,3/8/1996,19.3,6,433,4988.189383
1815,3/9/1996,31.1,7,434,4790.640626
1815,3/10/1996,44.6,1,435,5058.838478
1815,3/11/1996,52.7,2,436,5194.195336
1815,3/12/1996,51.5,3,437,5223.596011
1815,3/13/1996,42.5,4,438,5162.947775
1815,3/14/1996,35,5,439,5137.524026
1815,3/15/1996,36.2,6,440,5059.770697
1815,3/16/1996,36.3,7,441,4822.084934
1815,3/17/1996,34.3,1,442,4999.949862
1815,3/18/1996,28.3,2,443,5069.021448
1815,3/19/1996,26.4,3,444,5085.233384
1815,3/20/1996,29.1,4,445,5101.997269
1815,3/21/1996,43.7,5,446,5184.043786
1815,3/22/1996,38.3,6,447,5060.701135
1815,3/23/1996,47.4,7,448,4877.257318
1815,3/24/1996,27.3,1,449,4970.710862
1815,3/25/1996,9.9,2,450,5040.685425
1815,3/26/1996,19.2,3,451,5067.159251
1815,3/27/1996,37.8,4,452,5140.001473
1815,3/28/1996,43.5,5,453,5194.270942
1815,3/29/1996,43.4,6,454,5088.556705
1815,3/30/1996,44,7,455,4850.75471
1815,3/31/1996,39.1,1,456,5024.713378
1815,4/1/1996,48.7,2,457,5183.083461
1815,4/2/1996,60,3,458,5258.32737
1815,4/3/1996,47.9,4,459,5199.103007
1815,4/4/1996,34,5,460,5131.908806
1815,4/5/1996,28.9,6,461,5018.160847
1815,4/6/1996,51.9,7,462,4903.937067
1815,4/7/1996,49.8,1,463,5083.904971
1815,4/8/1996,53.8,2,464,5206.248635
1815,4/9/1996,54.3,3,465,5220.262535
1815,4/10/1996,58.7,4,466,5246.961491
1815,4/11/1996,55.5,5,467,5253.084044
1815,4/12/1996,43.2,6,468,5090.813992
1815,4/13/1996,42.3,7,469,4846.973274
1815,4/14/1996,32.9,1,470,4987.163455
1815,4/15/1996,39,2,471,5133.999141
1815,4/16/1996,50.9,3,472,5204.766217
1815,4/17/1996,57.3,4,473,5230.881375
1815,4/18/1996,53.9,5,474,5252.27711
1815,4/19/1996,45.4,6,475,5104.957011
1815,4/20/1996,38.4,7,476,4823.769346
1815,4/21/1996,42.3,1,477,5031.2193
1815,4/22/1996,37.3,2,478,5126.208101
1815,4/23/1996,49.4,3,479,5190.025836
1815,4/24/1996,65.8,4,480,5280.929948
1815,4/25/1996,60.1,5,481,5276.841608
1815,4/26/1996,52,6,482,5147.943357
1815,4/27/1996,55.5,7,483,4904.730071
1815,4/28/1996,38,1,484,5002.06637
1815,4/29/1996,35,2,485,5115.570052
1815,4/30/1996,47,3,486,5171.963946
1815,5/1/1996,46.1,4,487,5178.139122
1815,5/2/1996,57.8,5,488,5260.174747
1815,5/3/1996,59.5,6,489,5190.481681
1815,5/4/1996,57.4,7,490,4915.941639
1815,5/5/1996,55.6,1,491,5096.17444
1815,5/6/1996,56.6,2,492,5224.899264
1815,5/7/1996,58.3,3,493,5226.83004
1815,5/8/1996,60.2,4,494,5248.016109
1815,5/9/1996,60.9,5,495,5265.244247
1815,5/10/1996,47.9,6,496,5128.349033
1815,5/11/1996,52.8,7,497,4897.017521
1815,5/12/1996,64.1,1,498,5137.504142
1815,5/13/1996,55.9,2,499,5210.939337
1815,5/14/1996,64.3,3,500,5259.615066
1815,5/15/1996,72.1,4,501,5311.260325
1815,5/16/1996,74.8,5,502,5350.685793
1815,5/17/1996,77.7,6,503,5279.630807
1815,5/18/1996,71.6,7,504,5016.600399
1815,5/19/1996,64.6,1,505,5132.379963
1815,5/20/1996,55.8,2,506,5208.779073
1815,5/21/1996,57,3,507,5210.678398
1815,5/22/1996,65.5,4,508,5272.365051
1815,5/23/1996,67.2,5,509,5302.565357
1815,5/24/1996,55.1,6,510,5164.481068
1815,5/25/1996,49.5,7,511,4883.6861
1815,5/26/1996,46.9,1,512,5028.403682
1815,5/27/1996,46.8,2,513,5156.543418
1815,5/28/1996,45,3,514,5142.041454
1815,5/29/1996,51.1,4,515,5197.778797
1815,5/30/1996,59.4,5,516,5266.229365
1815,5/31/1996,64.9,6,517,5225.935256
1815,6/1/1996,58.1,7,518,4933.77938
1815,6/2/1996,59.6,1,519,5100.318104
1815,6/3/1996,61.5,2,520,5233.243909
1815,6/4/1996,66,3,521,5259.97266
1815,6/5/1996,71.1,4,522,5312.184842
1815,6/6/1996,63.4,5,523,5290.085609
1815,6/7/1996,58.3,6,524,5180.176066
1815,6/8/1996,62,7,525,4959.905492
1815,6/9/1996,70.1,1,526,5153.815649
1815,6/10/1996,68.8,2,527,5281.584873
1815,6/11/1996,63.3,3,528,5238.479319
1815,6/12/1996,64.7,4,529,5280.108438
1815,6/13/1996,60.4,5,530,5267.382663
1815,6/14/1996,60.2,6,531,5193.162136
1815,6/15/1996,58,7,532,4929.065143
1815,6/16/1996,60.7,1,533,5090.755508
1815,6/17/1996,64.6,2,534,5263.82599
1815,6/18/1996,68.5,3,535,5262.82958
1815,6/19/1996,75.1,4,536,5340.952347
1815,6/20/1996,69.4,5,537,5318.327248
1815,6/21/1996,72.8,6,538,5267.642436
1815,6/22/1996,62,7,539,4961.151519
1815,6/23/1996,63.5,1,540,5102.937926
1815,6/24/1996,68.9,2,541,5290.951427
1815,6/25/1996,66.5,3,542,5245.664376
1815,6/26/1996,69.4,4,543,5307.673274
1815,6/27/1996,69.7,5,544,5313.11433
1815,6/28/1996,69.4,6,545,5251.2193
1815,6/29/1996,68.9,7,546,4997.797453
1815,6/30/1996,67.8,1,547,5141.355416
1815,7/1/1996,82.4,2,548,5328.539736
1815,7/2/1996,77.5,3,549,5301.316569
1815,7/3/1996,76.1,4,550,5347.642406
1815,7/4/1996,79.2,5,551,5356.684443
1815,7/5/1996,77.1,6,552,5294.188095
1815,7/6/1996,76.3,7,553,5035.078828
1815,7/7/1996,72.7,1,554,5176.898067
1815,7/8/1996,65.7,2,555,5271.523658
1815,7/9/1996,63.7,3,556,5216.780638
1815,7/10/1996,59.7,4,557,5256.57042
1815,7/11/1996,70.3,5,558,5315.936177
1815,7/12/1996,67.1,6,559,5251.882909
1815,7/13/1996,66.4,7,560,4973.166033
1815,7/14/1996,64.5,1,561,5136.18162
1815,7/15/1996,65.9,2,562,5273.328291
1815,7/16/1996,70.5,3,563,5254.216968
1815,7/17/1996,73.2,4,564,5329.237465
1815,7/18/1996,71.2,5,565,5322.745106
1815,7/19/1996,68.4,6,566,5255.131237
1815,7/20/1996,72.9,7,567,5013.156674
1815,7/21/1996,73.5,1,568,5199.986468
1815,7/22/1996,72.9,2,569,5314.3027
1815,7/23/1996,70.2,3,570,5251.645781
1815,7/24/1996,65.2,4,571,5276.147837
1815,7/25/1996,63.7,5,572,5287.726665
1815,7/26/1996,64,6,573,5230.437588
1815,7/27/1996,63.1,7,574,4954.704817
1815,7/28/1996,68.9,1,575,5165.74348
1815,7/29/1996,65.2,2,576,5265.593863
1815,7/30/1996,64.2,3,577,5218.894538
1815,7/31/1996,67.3,4,578,5280.279595
1815,8/1/1996,68,5,579,5318.612366
1815,8/2/1996,72.2,6,580,5270.450721
1815,8/3/1996,71.1,7,581,5005.830868
1815,8/4/1996,70.9,1,582,5183.764314
1815,8/5/1996,69.9,2,583,5287.157042
1815,8/6/1996,72.5,3,584,5261.323566
1815,8/7/1996,67,4,585,5285.162381
1815,8/8/1996,64.9,5,586,5298.381283
