OFFER_DATE,AGE,GENDER,RACE,RFM_SCORE,CUSTOMER_SEGMENT,RESPONSE
6/13/2011,18,F,BLACK,300,segment-9,1
1/16/2011,18,M,BLACK,300,segment-8,1
7/7/2011,18,F,WHITE,300,segment-7,1
9/23/2010,18,M,WHITE,300,segment-7,1
6/9/2010,18,F,WHITE,300,segment-6,1
2/1/2010,18,M,BLACK,300,segment-5,1
2/16/2010,18,M,HISPANIC,300,segment-5,1
8/29/2010,18,F,BLACK,300,segment-4,1
9/2/2010,18,F,WHITE,300,segment-4,1
10/3/2011,18,F,WHITE,300,segment-3,1
9/3/2010,18,F,BLACK,300,segment-1,1
8/25/2011,18,M,WHITE,300,segment-1,1
1/19/2011,19,F,WHITE,1800,segment-9,1
10/1/2011,19,F,BLACK,1800,segment-9,1
5/25/2010,19,F,WHITE,1800,segment-8,1
10/21/2011,19,F,HISPANIC,1800,segment-8,1
11/8/2011,19,M,WHITE,1800,segment-8,1
2/1/2011,19,F,HISPANIC,1800,segment-6,1
12/17/2010,19,M,BLACK,1800,segment-6,0
11/13/2010,19,F,BLACK,1800,segment-5,1
11/26/2011,19,M,WHITE,1800,segment-5,1
3/7/2011,19,M,BLACK,1800,segment-3,1
9/13/2011,19,M,BLACK,1800,segment-3,1
10/26/2010,19,F,WHITE,1800,segment-2,1
4/19/2011,19,F,WHITE,1800,segment-10,1
6/29/2011,19,F,BLACK,1800,segment-10,1
8/3/2011,19,M,BLACK,1800,segment-10,1
9/6/2011,19,F,BLACK,1800,segment-1,1
2/23/2010,19,F,BLACK,1500,segment-9,1
5/27/2010,19,F,HISPANIC,1500,segment-9,1
6/3/2010,19,F,BLACK,1500,segment-9,1
5/6/2011,19,F,BLACK,1500,segment-9,1
9/11/2011,19,F,WHITE,1500,segment-9,1
9/7/2010,19,M,WHITE,1500,segment-9,1
1/30/2010,19,F,WHITE,1500,segment-8,1
7/21/2010,19,F,WHITE,1500,segment-7,1
3/27/2010,19,M,WHITE,1500,segment-7,1
12/6/2010,19,M,BLACK,1500,segment-7,1
9/17/2011,19,M,HISPANIC,1500,segment-7,1
10/7/2011,19,M,WHITE,1500,segment-7,0
3/9/2011,19,F,WHITE,1500,segment-6,1
8/29/2011,19,F,WHITE,1500,segment-6,1
1/30/2011,19,M,HISPANIC,1500,segment-6,1
10/26/2011,19,M,WHITE,1500,segment-6,1
10/5/2010,19,F,WHITE,1500,segment-5,1
12/26/2010,19,F,BLACK,1500,segment-5,1
4/11/2010,19,M,HISPANIC,1500,segment-5,1
5/3/2010,19,M,BLACK,1500,segment-5,1
5/31/2010,19,M,HISPANIC,1500,segment-5,1
9/13/2010,19,M,WHITE,1500,segment-5,1
11/6/2011,19,M,WHITE,1500,segment-5,1
10/11/2010,19,F,WHITE,1500,segment-4,1
1/27/2011,19,F,WHITE,1500,segment-4,1
4/17/2011,19,F,BLACK,1500,segment-4,1
8/13/2011,19,F,BLACK,1500,segment-4,1
8/10/2010,19,M,WHITE,1500,segment-4,1
11/29/2010,19,M,WHITE,1500,segment-4,1
2/12/2011,19,M,WHITE,1500,segment-4,1
7/15/2011,19,M,BLACK,1500,segment-4,1
1/24/2010,19,F,WHITE,1500,segment-3,0
4/19/2010,19,F,WHITE,1500,segment-3,1
8/9/2010,19,F,HISPANIC,1500,segment-3,1
8/25/2010,19,F,WHITE,1500,segment-3,1
9/26/2010,19,F,HISPANIC,1500,segment-3,1
2/6/2011,19,F,BLACK,1500,segment-3,1
7/14/2010,19,F,BLACK,1500,segment-2,1
11/15/2010,19,F,HISPANIC,1500,segment-2,1
5/11/2011,19,F,WHITE,1500,segment-2,1
9/7/2011,19,F,BLACK,1500,segment-2,1
10/27/2011,19,F,HISPANIC,1500,segment-2,1
1/12/2010,19,M,BLACK,1500,segment-2,1
1/19/2010,19,M,WHITE,1500,segment-2,1
3/24/2010,19,M,WHITE,1500,segment-2,1
6/25/2011,19,M,BLACK,1500,segment-2,1
7/19/2011,19,M,WHITE,1500,segment-2,1
12/26/2010,19,F,BLACK,1500,segment-10,1
1/12/2011,19,F,BLACK,1500,segment-10,1
2/3/2011,19,M,WHITE,1500,segment-10,1
9/23/2010,19,F,BLACK,1500,segment-1,0
1/8/2011,19,F,WHITE,1500,segment-1,1
5/13/2011,19,F,BLACK,1500,segment-1,0
7/10/2011,19,F,BLACK,1500,segment-1,1
8/8/2011,19,F,BLACK,1500,segment-1,1
2/23/2010,19,M,WHITE,1500,segment-1,0
5/31/2011,19,M,BLACK,1500,segment-1,1
6/16/2011,19,M,WHITE,1500,segment-1,1
1/19/2010,19,F,HISPANIC,1200,segment-9,1
2/14/2011,19,F,WHITE,1200,segment-9,1
11/28/2011,19,F,HISPANIC,1200,segment-9,0
6/6/2010,19,M,HISPANIC,1200,segment-9,1
9/19/2010,19,M,BLACK,1200,segment-9,1
10/16/2010,19,M,HISPANIC,1200,segment-9,1
3/9/2011,19,M,BLACK,1200,segment-9,1
11/27/2010,19,F,BLACK,1200,segment-8,1
3/8/2011,19,F,HISPANIC,1200,segment-8,1
6/3/2011,19,F,WHITE,1200,segment-8,1
2/1/2010,19,M,BLACK,1200,segment-8,1
4/25/2010,19,M,BLACK,1200,segment-8,1
7/3/2010,19,M,BLACK,1200,segment-8,1
10/23/2010,19,M,BLACK,1200,segment-8,1
1/2/2010,19,F,WHITE,1200,segment-7,1
2/22/2010,19,F,BLACK,1200,segment-7,1
10/6/2010,19,F,BLACK,1200,segment-7,1
11/19/2010,19,F,WHITE,1200,segment-7,1
3/11/2011,19,F,WHITE,1200,segment-7,1
7/7/2011,19,F,BLACK,1200,segment-7,1
10/22/2011,19,F,WHITE,1200,segment-7,1
3/28/2010,19,F,BLACK,1200,segment-6,1
5/21/2011,19,M,BLACK,1200,segment-6,1
8/17/2011,19,M,BLACK,1200,segment-6,1
6/23/2010,19,F,BLACK,1200,segment-5,1
10/10/2010,19,F,WHITE,1200,segment-5,1
5/2/2010,19,M,BLACK,1200,segment-5,1
7/23/2010,19,M,WHITE,1200,segment-5,1
10/9/2010,19,M,BLACK,1200,segment-5,1
9/13/2011,19,M,BLACK,1200,segment-5,1
6/25/2010,19,F,WHITE,1200,segment-4,1
8/25/2010,19,F,BLACK,1200,segment-4,1
6/21/2011,19,F,WHITE,1200,segment-4,1
7/31/2011,19,M,BLACK,1200,segment-4,1
10/23/2010,19,F,WHITE,1200,segment-3,1
5/12/2011,19,M,BLACK,1200,segment-3,1
6/27/2011,19,M,BLACK,1200,segment-3,1
9/7/2011,19,M,BLACK,1200,segment-3,1
1/19/2011,19,F,WHITE,1200,segment-2,1
3/23/2011,19,F,BLACK,1200,segment-2,1
9/16/2011,19,F,HISPANIC,1200,segment-10,1
2/24/2010,19,M,BLACK,1200,segment-10,1
3/21/2010,19,F,HISPANIC,1200,segment-1,1
10/2/2010,19,F,HISPANIC,1200,segment-1,0
5/28/2010,19,M,BLACK,1200,segment-1,1
5/9/2011,19,M,BLACK,1200,segment-1,1
2/14/2011,19,F,WHITE,900,segment-9,1
10/25/2011,19,F,WHITE,900,segment-9,1
9/16/2011,19,M,WHITE,900,segment-9,1
3/2/2010,19,F,BLACK,900,segment-8,1
6/28/2011,19,F,BLACK,900,segment-8,1
5/31/2010,19,M,BLACK,900,segment-8,1
9/11/2010,19,M,BLACK,900,segment-8,1
7/17/2011,19,M,BLACK,900,segment-8,1
8/30/2011,19,M,BLACK,900,segment-8,1
4/17/2011,19,M,HISPANIC,900,segment-7,1
8/9/2011,19,M,BLACK,900,segment-7,1
1/22/2010,19,F,WHITE,900,segment-6,1
1/20/2011,19,F,BLACK,900,segment-6,1
3/30/2010,19,M,WHITE,900,segment-6,1
10/24/2010,19,M,HISPANIC,900,segment-6,1
9/25/2010,19,F,HISPANIC,900,segment-5,1
11/21/2011,19,F,BLACK,900,segment-5,1
6/7/2010,19,M,BLACK,900,segment-5,1
8/30/2010,19,M,BLACK,900,segment-5,1
9/26/2010,19,M,BLACK,900,segment-5,1
7/9/2011,19,M,BLACK,900,segment-5,1
2/4/2010,19,F,BLACK,900,segment-4,1
8/16/2010,19,F,BLACK,900,segment-4,1
11/8/2011,19,F,HISPANIC,900,segment-4,1
1/8/2010,19,M,WHITE,900,segment-4,1
2/10/2010,19,M,WHITE,900,segment-4,1
8/22/2011,19,M,WHITE,900,segment-4,1
3/15/2010,19,F,WHITE,900,segment-3,1
6/23/2010,19,F,BLACK,900,segment-3,1
8/31/2011,19,F,HISPANIC,900,segment-3,1
11/11/2010,19,M,BLACK,900,segment-3,1
12/4/2010,19,M,HISPANIC,900,segment-3,1
1/11/2011,19,M,BLACK,900,segment-3,0
8/19/2011,19,M,BLACK,900,segment-3,1
7/18/2010,19,F,BLACK,900,segment-2,1
7/13/2011,19,F,WHITE,900,segment-2,1
11/16/2011,19,F,BLACK,900,segment-2,1
5/29/2010,19,M,BLACK,900,segment-2,1
9/26/2011,19,M,WHITE,900,segment-2,1
11/13/2011,19,M,BLACK,900,segment-2,1
8/24/2011,19,F,BLACK,900,segment-10,1
1/6/2011,19,M,WHITE,900,segment-10,1
11/29/2011,19,M,WHITE,900,segment-10,1
1/1/2010,19,F,HISPANIC,900,segment-1,1
4/5/2010,19,F,HISPANIC,900,segment-1,1
10/30/2010,19,F,WHITE,900,segment-1,1
5/28/2010,19,M,BLACK,900,segment-1,1
7/11/2010,19,F,BLACK,600,segment-9,1
11/15/2011,19,F,BLACK,600,segment-9,1
8/30/2010,19,M,BLACK,600,segment-9,1
9/15/2011,19,M,HISPANIC,600,segment-9,1
3/19/2010,19,F,BLACK,600,segment-8,1
3/25/2010,19,F,WHITE,600,segment-8,1
7/29/2010,19,F,WHITE,600,segment-8,1
8/11/2011,19,F,HISPANIC,600,segment-8,1
1/11/2010,19,M,HISPANIC,600,segment-8,1
2/28/2011,19,M,BLACK,600,segment-8,1
5/6/2011,19,M,WHITE,600,segment-8,1
7/3/2011,19,F,BLACK,600,segment-7,1
10/3/2011,19,M,BLACK,600,segment-7,1
1/29/2010,19,F,BLACK,600,segment-6,1
8/12/2010,19,F,BLACK,600,segment-6,1
3/15/2011,19,F,WHITE,600,segment-6,1
5/5/2011,19,F,BLACK,600,segment-6,1
11/20/2011,19,F,BLACK,600,segment-6,1
2/12/2010,19,M,BLACK,600,segment-6,1
5/21/2011,19,M,WHITE,600,segment-6,1
7/1/2011,19,M,WHITE,600,segment-6,1
8/4/2011,19,M,WHITE,600,segment-6,1
9/17/2010,19,F,WHITE,600,segment-5,1
6/25/2011,19,F,BLACK,600,segment-5,1
9/23/2011,19,F,BLACK,600,segment-5,1
11/19/2011,19,F,WHITE,600,segment-5,1
3/21/2010,19,M,WHITE,600,segment-5,1
5/10/2011,19,M,HISPANIC,600,segment-5,1
5/3/2010,19,F,BLACK,600,segment-4,0
1/5/2011,19,F,HISPANIC,600,segment-4,1
9/5/2010,19,F,BLACK,600,segment-3,1
9/23/2010,19,F,WHITE,600,segment-3,1
1/13/2011,19,F,BLACK,600,segment-3,1
10/24/2010,19,M,BLACK,600,segment-3,1
11/8/2010,19,M,HISPANIC,600,segment-3,1
2/5/2011,19,M,WHITE,600,segment-3,1
7/21/2010,19,F,BLACK,600,segment-2,1
10/18/2010,19,F,BLACK,600,segment-2,1
10/29/2010,19,F,BLACK,600,segment-10,1
2/24/2011,19,F,HISPANIC,600,segment-10,1
1/9/2011,19,M,WHITE,600,segment-10,1
9/14/2011,19,F,BLACK,300,segment-9,1
11/8/2011,19,F,WHITE,300,segment-9,1
8/14/2010,19,M,BLACK,300,segment-9,1
7/26/2011,19,M,BLACK,300,segment-9,1
8/4/2010,19,F,BLACK,300,segment-8,1
12/21/2010,19,F,WHITE,300,segment-8,1
8/23/2011,19,F,WHITE,300,segment-8,1
1/18/2010,19,M,BLACK,300,segment-8,1
10/6/2011,19,M,WHITE,300,segment-8,1
3/25/2010,19,F,HISPANIC,300,segment-7,1
1/17/2011,19,F,WHITE,300,segment-7,1
1/8/2011,19,M,BLACK,300,segment-7,1
6/19/2011,19,F,WHITE,300,segment-6,1
2/4/2010,19,M,WHITE,300,segment-6,1
11/15/2011,19,F,BLACK,300,segment-5,1
12/9/2010,19,M,HISPANIC,300,segment-5,1
4/1/2011,19,M,HISPANIC,300,segment-5,1
3/13/2011,19,F,BLACK,300,segment-4,1
1/14/2010,19,M,BLACK,300,segment-4,1
6/23/2010,19,F,WHITE,300,segment-3,1
4/12/2011,19,F,WHITE,300,segment-3,1
9/24/2010,19,M,WHITE,300,segment-3,1
7/5/2010,19,F,WHITE,300,segment-2,1
9/5/2011,19,F,WHITE,300,segment-2,1
10/21/2010,19,M,BLACK,300,segment-2,0
7/4/2011,19,M,BLACK,300,segment-2,0
8/10/2011,19,M,BLACK,300,segment-2,1
9/22/2011,19,M,WHITE,300,segment-2,0
1/26/2011,19,M,WHITE,300,segment-10,0
9/19/2010,19,F,WHITE,300,segment-1,0
11/8/2010,19,F,BLACK,300,segment-1,1
5/4/2010,20,F,BLACK,1800,segment-9,1
1/14/2010,20,M,WHITE,1800,segment-9,1
1/16/2010,20,M,WHITE,1800,segment-9,1
11/25/2010,20,F,WHITE,1800,segment-8,1
4/12/2011,20,F,BLACK,1800,segment-7,1
5/28/2010,20,M,BLACK,1800,segment-7,1
6/7/2010,20,M,BLACK,1800,segment-7,1
5/21/2011,20,F,WHITE,1800,segment-6,1
8/12/2011,20,F,BLACK,1800,segment-6,1
1/20/2011,20,M,HISPANIC,1800,segment-6,1
7/28/2011,20,M,WHITE,1800,segment-6,1
2/24/2010,20,F,BLACK,1800,segment-5,1
7/11/2010,20,F,WHITE,1800,segment-5,1
12/1/2011,20,M,HISPANIC,1800,segment-5,1
6/16/2011,20,F,BLACK,1800,segment-4,1
9/13/2010,20,M,WHITE,1800,segment-4,1
9/23/2011,20,M,WHITE,1800,segment-4,1
11/15/2011,20,M,HISPANIC,1800,segment-4,1
8/3/2010,20,F,BLACK,1800,segment-3,1
10/18/2011,20,F,HISPANIC,1800,segment-3,1
12/17/2010,20,M,WHITE,1800,segment-3,1
11/17/2010,20,F,WHITE,1800,segment-2,1
11/18/2010,20,F,BLACK,1800,segment-2,1
8/8/2011,20,F,HISPANIC,1800,segment-2,1
7/2/2010,20,F,WHITE,1800,segment-1,1
1/26/2010,20,F,WHITE,1500,segment-9,1
2/3/2010,20,F,BLACK,1500,segment-9,1
5/18/2011,20,F,BLACK,1500,segment-9,1
7/7/2011,20,F,WHITE,1500,segment-9,1
8/8/2011,20,F,WHITE,1500,segment-9,1
11/22/2011,20,F,BLACK,1500,segment-9,1
1/8/2010,20,M,HISPANIC,1500,segment-9,1
5/18/2011,20,M,WHITE,1500,segment-9,1
8/3/2011,20,M,WHITE,1500,segment-9,1
2/5/2010,20,F,BLACK,1500,segment-8,1
6/21/2011,20,M,BLACK,1500,segment-8,1
1/28/2010,20,F,HISPANIC,1500,segment-7,1
12/6/2010,20,F,WHITE,1500,segment-7,1
12/17/2010,20,F,BLACK,1500,segment-7,1
4/5/2011,20,F,HISPANIC,1500,segment-7,1
5/11/2011,20,M,WHITE,1500,segment-7,1
5/6/2010,20,F,BLACK,1500,segment-6,1
8/27/2010,20,F,WHITE,1500,segment-6,1
10/9/2011,20,F,WHITE,1500,segment-6,1
2/5/2011,20,M,BLACK,1500,segment-6,1
10/6/2011,20,M,WHITE,1500,segment-6,1
5/3/2011,20,F,BLACK,1500,segment-5,1
8/1/2011,20,F,WHITE,1500,segment-5,1
4/1/2010,20,M,WHITE,1500,segment-5,1
4/27/2010,20,F,BLACK,1500,segment-4,0
8/7/2010,20,F,HISPANIC,1500,segment-4,1
8/16/2010,20,F,BLACK,1500,segment-4,1
3/14/2011,20,F,BLACK,1500,segment-4,1
7/14/2011,20,F,BLACK,1500,segment-4,1
12/25/2010,20,M,BLACK,1500,segment-4,1
1/21/2011,20,M,HISPANIC,1500,segment-4,1
10/17/2010,20,F,WHITE,1500,segment-3,1
11/1/2010,20,F,BLACK,1500,segment-3,1
7/3/2011,20,F,BLACK,1500,segment-3,1
12/6/2010,20,F,WHITE,1500,segment-2,1
6/17/2011,20,F,BLACK,1500,segment-2,1
10/20/2011,20,F,BLACK,1500,segment-2,1
4/13/2011,20,F,BLACK,1500,segment-1,1
1/12/2010,20,F,HISPANIC,1200,segment-9,1
4/4/2010,20,F,BLACK,1200,segment-9,1
11/2/2010,20,F,HISPANIC,1200,segment-9,1
11/4/2010,20,F,WHITE,1200,segment-9,1
10/26/2011,20,F,BLACK,1200,segment-9,1
11/6/2011,20,F,BLACK,1200,segment-9,1
10/30/2010,20,M,HISPANIC,1200,segment-9,1
10/6/2011,20,M,WHITE,1200,segment-9,1
12/1/2011,20,F,BLACK,1200,segment-8,1
11/25/2010,20,F,HISPANIC,1200,segment-7,1
5/11/2011,20,F,BLACK,1200,segment-7,1
9/22/2010,20,M,WHITE,1200,segment-7,1
1/5/2011,20,M,BLACK,1200,segment-7,1
4/6/2011,20,M,BLACK,1200,segment-7,1
8/26/2011,20,M,BLACK,1200,segment-7,1
8/7/2010,20,F,HISPANIC,1200,segment-6,1
9/2/2010,20,F,BLACK,1200,segment-6,1
12/1/2010,20,F,BLACK,1200,segment-6,1
1/26/2010,20,M,HISPANIC,1200,segment-6,1
7/7/2010,20,M,WHITE,1200,segment-6,1
9/25/2010,20,M,HISPANIC,1200,segment-6,1
6/14/2011,20,M,HISPANIC,1200,segment-6,1
4/14/2010,20,F,WHITE,1200,segment-5,1
4/30/2010,20,F,BLACK,1200,segment-5,1
5/16/2010,20,M,WHITE,1200,segment-5,1
7/22/2010,20,M,WHITE,1200,segment-5,1
10/28/2011,20,M,BLACK,1200,segment-5,1
2/14/2010,20,F,HISPANIC,1200,segment-4,1
5/16/2011,20,F,BLACK,1200,segment-4,1
2/16/2010,20,M,BLACK,1200,segment-4,1
12/26/2010,20,F,BLACK,1200,segment-3,1
3/5/2011,20,F,WHITE,1200,segment-3,1
8/15/2010,20,F,HISPANIC,1200,segment-2,1
9/21/2010,20,F,HISPANIC,1200,segment-2,1
11/19/2010,20,F,BLACK,1200,segment-2,1
4/28/2011,20,F,BLACK,1200,segment-2,1
11/15/2011,20,F,BLACK,1200,segment-2,1
6/6/2010,20,M,HISPANIC,1200,segment-2,1
7/26/2010,20,M,WHITE,1200,segment-2,1
8/4/2011,20,M,BLACK,1200,segment-2,1
7/7/2011,20,M,BLACK,1200,segment-10,1
3/11/2010,20,F,WHITE,1200,segment-1,1
9/14/2010,20,F,WHITE,1200,segment-1,1
3/1/2011,20,F,BLACK,1200,segment-1,1
7/29/2011,20,F,BLACK,1200,segment-1,1
3/7/2010,20,M,BLACK,1200,segment-1,1
9/2/2010,20,M,WHITE,1200,segment-1,1
12/2/2010,20,M,BLACK,1200,segment-1,1
1/24/2010,20,F,HISPANIC,900,segment-9,1
10/22/2010,20,F,BLACK,900,segment-9,1
2/2/2010,20,M,BLACK,900,segment-9,1
2/22/2010,20,M,BLACK,900,segment-9,1
4/5/2010,20,M,HISPANIC,900,segment-9,1
1/24/2010,20,F,BLACK,900,segment-8,1
4/25/2010,20,F,WHITE,900,segment-8,1
6/6/2010,20,F,BLACK,900,segment-8,1
9/3/2010,20,F,BLACK,900,segment-8,1
4/17/2011,20,F,BLACK,900,segment-8,1
7/1/2011,20,M,WHITE,900,segment-8,1
2/22/2010,20,F,BLACK,900,segment-7,1
12/4/2010,20,F,WHITE,900,segment-7,1
11/27/2011,20,F,BLACK,900,segment-7,0
8/11/2010,20,M,BLACK,900,segment-7,0
11/5/2010,20,M,BLACK,900,segment-7,1
1/18/2010,20,F,WHITE,900,segment-6,1
12/13/2010,20,F,WHITE,900,segment-6,1
7/26/2011,20,F,WHITE,900,segment-6,1
8/16/2011,20,F,WHITE,900,segment-6,1
12/18/2010,20,M,HISPANIC,900,segment-6,1
5/22/2010,20,F,HISPANIC,900,segment-5,1
9/15/2010,20,F,WHITE,900,segment-5,1
2/6/2011,20,F,WHITE,900,segment-5,1
6/27/2010,20,M,WHITE,900,segment-5,1
10/26/2010,20,F,BLACK,900,segment-4,1
7/8/2011,20,F,BLACK,900,segment-4,1
1/29/2010,20,M,BLACK,900,segment-4,1
1/16/2010,20,F,WHITE,900,segment-3,1
5/3/2010,20,F,WHITE,900,segment-3,1
10/30/2010,20,F,BLACK,900,segment-3,1
11/4/2011,20,F,BLACK,900,segment-3,1
2/21/2011,20,F,BLACK,900,segment-2,1
7/9/2011,20,F,WHITE,900,segment-2,1
9/21/2011,20,F,WHITE,900,segment-2,1
8/6/2010,20,M,WHITE,900,segment-2,1
6/16/2011,20,M,HISPANIC,900,segment-2,1
6/30/2011,20,M,WHITE,900,segment-2,1
10/25/2011,20,M,BLACK,900,segment-2,1
9/28/2010,20,F,BLACK,900,segment-10,1
7/5/2011,20,M,BLACK,900,segment-10,1
9/26/2011,20,M,BLACK,900,segment-1,1
1/21/2010,20,F,HISPANIC,600,segment-9,1
1/2/2011,20,F,WHITE,600,segment-9,1
10/14/2011,20,F,BLACK,600,segment-9,1
10/30/2011,20,F,BLACK,600,segment-9,1
4/7/2010,20,F,HISPANIC,600,segment-8,0
10/1/2010,20,F,WHITE,600,segment-8,1
5/12/2010,20,M,BLACK,600,segment-8,1
7/6/2011,20,M,HISPANIC,600,segment-8,0
1/23/2011,20,F,WHITE,600,segment-7,1
3/16/2011,20,F,WHITE,600,segment-7,0
9/13/2011,20,F,BLACK,600,segment-7,1
1/7/2010,20,M,BLACK,600,segment-7,1
12/1/2010,20,M,HISPANIC,600,segment-7,0
12/30/2010,20,M,HISPANIC,600,segment-7,1
1/1/2011,20,M,HISPANIC,600,segment-7,1
6/6/2010,20,F,HISPANIC,600,segment-6,1
7/29/2010,20,F,BLACK,600,segment-6,1
12/29/2010,20,F,WHITE,600,segment-6,1
2/11/2011,20,F,HISPANIC,600,segment-6,1
3/3/2011,20,F,WHITE,600,segment-6,1
3/5/2011,20,F,BLACK,600,segment-6,1
3/5/2011,20,F,WHITE,600,segment-6,1
5/5/2011,20,F,HISPANIC,600,segment-6,1
6/22/2011,20,F,WHITE,600,segment-6,1
8/8/2011,20,F,HISPANIC,600,segment-6,1
6/7/2010,20,F,BLACK,600,segment-5,1
1/5/2011,20,F,WHITE,600,segment-5,1
1/30/2011,20,F,BLACK,600,segment-5,1
3/6/2011,20,F,BLACK,600,segment-5,1
10/12/2011,20,F,BLACK,600,segment-5,1
3/27/2010,20,M,BLACK,600,segment-5,1
4/27/2011,20,M,WHITE,600,segment-5,1
6/2/2011,20,M,BLACK,600,segment-5,1
8/17/2011,20,M,WHITE,600,segment-5,1
8/25/2010,20,F,BLACK,600,segment-4,1
12/15/2010,20,F,WHITE,600,segment-4,1
11/11/2011,20,F,WHITE,600,segment-4,1
3/22/2010,20,M,WHITE,600,segment-4,1
7/21/2010,20,M,WHITE,600,segment-4,1
6/21/2011,20,M,WHITE,600,segment-4,1
12/1/2011,20,M,BLACK,600,segment-4,1
10/5/2011,20,F,BLACK,600,segment-3,1
8/4/2010,20,M,HISPANIC,600,segment-3,1
5/2/2010,20,M,BLACK,600,segment-2,1
10/20/2011,20,M,BLACK,600,segment-2,1
