Product_Code	Product_Category	Unit_Price
534	Hardware	119
535	Hardware	119
506	Hardware	109
511	Hardware	109
533	Hardware	109
557	Hardware	109
531	Hardware	104
397	Hardware	99
404	Hardware	99
429	Hardware	99
436	Hardware	99
496	Hardware	99
532	Hardware	99
560	Hardware	99
503	Hardware	94
505	Hardware	94
510	Hardware	94
530	Hardware	94
403	Hardware	89
435	Hardware	89
495	Hardware	89
526	Hardware	89
545	Hardware	89
556	Hardware	89
502	Hardware	84
529	Hardware	84
494	Hardware	79
504	Hardware	79
509	Hardware	79
522	Hardware	79
525	Hardware	79
544	Hardware	79
559	Hardware	79
501	Hardware	74
528	Hardware	74
488	Hardware	69
493	Hardware	69
515	Hardware	69
518	Hardware	69
521	Hardware	69
524	Hardware	69
543	Hardware	69
547	Hardware	69
555	Hardware	69
500	Hardware	64
527	Hardware	64
487	Hardware	59
492	Hardware	59
514	Hardware	59
517	Hardware	59
520	Hardware	59
523	Hardware	59
541	Hardware	59
542	Hardware	59
546	Hardware	59
499	Hardware	54
486	Hardware	49
491	Hardware	49
513	Hardware	49
516	Hardware	49
519	Hardware	49
540	Hardware	49
554	Hardware	49
566	Hardware	49
498	Hardware	44
565	Hardware	44
485	Hardware	39
490	Hardware	39
539	Hardware	39
563	Hardware	39
564	Hardware	39
497	Hardware	34
562	Hardware	34
484	Hardware	29
489	Hardware	29
553	Hardware	29
561	Hardware	29
567	Hardware	29
551	Hardware	24
550	Hardware	19
552	Hardware	19
549	Hardware	14
548	Hardware	9
254	Movies	2149
251	Movies	2099
267	Movies	1980
285	Movies	1980
253	Movies	1949
250	Movies	1899
252	Movies	1749
249	Movies	1699
233	Movies	1499
232	Movies	1399
245	Movies	1399
266	Movies	1380
231	Movies	1299
237	Movies	1299
244	Movies	1299
248	Movies	1299
247	Movies	1249
230	Movies	1199
236	Movies	1199
243	Movies	1199
246	Movies	1199
258	Movies	1199
260	Movies	1199
257	Movies	1149
215	Movies	1099
229	Movies	1099
235	Movies	1099
256	Movies	1099
276	Movies	1099
255	Movies	1049
218	Movies	999
228	Movies	999
234	Movies	999
259	Movies	999
275	Movies	999
280	Movies	999
284	Movies	980
214	Movies	899
223	Movies	899
240	Movies	899
274	Movies	899
279	Movies	899
213	Movies	799
217	Movies	799
221	Movies	799
239	Movies	799
273	Movies	799
278	Movies	799
216	Movies	749
220	Movies	749
222	Movies	749
227	Movies	749
212	Movies	699
219	Movies	699
226	Movies	699
238	Movies	699
242	Movies	699
272	Movies	699
277	Movies	699
290	Movies	699
225	Movies	649
241	Movies	649
224	Movies	599
283	Movies	599
289	Movies	599
282	Movies	549
281	Movies	499
288	Movies	499
287	Movies	399
263	Movies	219
265	Movies	199
271	Movies	199
262	Movies	189
261	Movies	169
264	Movies	169
270	Movies	169
269	Movies	149
268	Movies	119
286	Movies	119
99	Video Games	99
118	Video Games	99
33	Video Games	84
14	Video Games	79
9	Video Games	69
26	Video Games	69
11	Video Games	59
29	Video Games	59
106	Video Games	59
115	Video Games	59
198	Video Games	59
10	Video Games	49
3	Video Games	44
32	Video Games	44
164	Video Games	44
8	Video Games	39
13	Video Games	39
94	Video Games	39
152	Video Games	39
157	Video Games	39
162	Video Games	39
2	Video Games	34
12	Video Games	34
23	Video Games	34
105	Video Games	34
117	Video Games	34
150	Video Games	34
156	Video Games	34
163	Video Games	34
6	Video Games	29
7	Video Games	29
98	Video Games	29
104	Video Games	29
111	Video Games	29
123	Video Games	29
148	Video Games	29
151	Video Games	29
155	Video Games	29
158	Video Games	29
159	Video Games	29
161	Video Games	29
195	Video Games	29
127	Video Games	28
53	Video Games	26
77	Video Games	26
126	Video Games	25
1	Video Games	24
21	Video Games	24
22	Video Games	24
31	Video Games	24
82	Video Games	24
110	Video Games	24
114	Video Games	24
116	Video Games	24
122	Video Games	24
149	Video Games	24
154	Video Games	24
166	Video Games	24
93	Video Games	22
125	Video Games	22
146	Video Games	21
4	Video Games	19
5	Video Games	19
50	Video Games	19
71	Video Games	19
74	Video Games	19
81	Video Games	19
91	Video Games	19
103	Video Games	19
108	Video Games	19
109	Video Games	19
121	Video Games	19
124	Video Games	19
147	Video Games	19
153	Video Games	19
160	Video Games	19
165	Video Games	19
171	Video Games	19
145	Video Games	18
20	Video Games	17
59	Video Games	17
65	Video Games	17
68	Video Games	17
197	Video Games	16
144	Video Games	15
80	Video Games	149
87	Video Games	149
90	Video Games	149
95	Video Games	149
97	Video Games	149
100	Video Games	149
113	Video Games	149
120	Video Games	149
170	Video Games	149
192	Video Games	149
52	Video Games	129
76	Video Games	129
107	Video Games	129
18	Video Games	119
19	Video Games	119
30	Video Games	119
56	Video Games	119
62	Video Games	119
86	Video Games	119
143	Video Games	119
25	Video Games	39
49	Video Games	69
70	Video Games	89
73	Video Games	89
89	Video Games	109
119	Video Games	139
189	Video Games	209
194	Video Games	209
45	Video Games	59
58	Video Games	69
64	Video Games	79
67	Video Games	79
85	Video Games	99
88	Video Games	99
183	Video Games	199
188	Video Games	199
28	Video Games	39
79	Video Games	89
55	Video Games	69
61	Video Games	69
102	Video Games	109
169	Video Games	179
177	Video Games	189
182	Video Games	189
187	Video Games	199
196	Video Games	209
42	Video Games	49
44	Video Games	49
46	Video Games	59
78	Video Games	89
138	Video Games	149
139	Video Games	149
140	Video Games	149
141	Video Games	149
142	Video Games	149
167	Video Games	179
176	Video Games	189
181	Video Games	189
40	Video Games	49
41	Video Games	49
47	Video Games	59
84	Video Games	89
92	Video Games	99
112	Video Games	119
133	Video Games	139
134	Video Games	139
135	Video Games	139
136	Video Games	139
137	Video Games	149
168	Video Games	179
191	Video Games	199
17	Video Games	19
24	Video Games	29
34	Video Games	39
35	Video Games	39
36	Video Games	39
37	Video Games	39
38	Video Games	39
39	Video Games	49
101	Video Games	109
128	Video Games	129
129	Video Games	139
130	Video Games	139
131	Video Games	139
132	Video Games	139
175	Video Games	179
186	Video Games	189
193	Video Games	199
15	Video Games	19
16	Video Games	19
27	Video Games	29
43	Video Games	49
48	Video Games	49
51	Video Games	59
69	Video Games	69
72	Video Games	79
75	Video Games	79
83	Video Games	89
96	Video Games	99
174	Video Games	179
179	Video Games	179
180	Video Games	179
184	Video Games	189
185	Video Games	189
54	Video Games	59
57	Video Games	59
60	Video Games	59
63	Video Games	69
66	Video Games	69
172	Video Games	169
173	Video Games	179
178	Video Games	179
190	Video Games	189
639	Software	999
641	Software	299
640	Software	259
642	Software	199
638	Software	129
632	Software	169
633	Software	69
634	Software	269
636	Software	59
637	Software	34
624	Software	54
625	Software	24
626	Software	64
627	Software	74
635	Software	84
628	Software	19
629	Software	29
630	Software	149
631	Software	59
617	Software	19
618	Software	29
619	Software	39
620	Software	49
621	Software	39
622	Software	69
623	Software	15
294	Streaming	399
299	Streaming	409
304	Streaming	409
309	Streaming	419
314	Streaming	419
319	Streaming	429
324	Streaming	439
332	Streaming	449
333	Streaming	449
334	Streaming	449
291	Streaming	389
293	Streaming	199
296	Streaming	199
298	Streaming	199
301	Streaming	199
303	Streaming	199
306	Streaming	199
308	Streaming	209
311	Streaming	209
313	Streaming	209
316	Streaming	209
318	Streaming	209
321	Streaming	209
323	Streaming	209
326	Streaming	219
327	Streaming	219
330	Streaming	219
331	Streaming	219
292	Streaming	189
295	Streaming	189
297	Streaming	199
300	Streaming	199
302	Streaming	199
305	Streaming	199
307	Streaming	199
310	Streaming	199
312	Streaming	199
315	Streaming	209
317	Streaming	209
320	Streaming	209
322	Streaming	209
325	Streaming	209
328	Streaming	209
329	Streaming	209
335	Streaming	219
336	Streaming	219
337	Streaming	219
